date,facility_id,facility_name,facility_type,location,drug_id,drug_name,category,current_stock,min_stock,daily_usage,lead_time_days
1/7/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,150,35,9,3
6/22/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,289,25,20,7
1/24/2024,1,Cairo General Hospital,Hospital,Cairo,101,Paracetamol,Painkiller,121,34,18,10
2/20/2024,1,Cairo General Hospital,Hospital,Cairo,105,Aspirin,Cardio,289,46,9,8
1/2/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,91,64,15,6
2/25/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,182,26,4,7
3/29/2024,1,Cairo General Hospital,Hospital,Cairo,103,Ibuprofen,Painkiller,145,71,3,12
2/1/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,203,25,19,5
4/2/2024,6,Delta Medical Center,Clinic,Mansoura,105,Aspirin,Cardio,108,65,4,1
3/15/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,50,74,9,14
3/12/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,242,60,13,3
2/23/2024,3,Giza Health Center,Clinic,Giza,103,Ibuprofen,Painkiller,146,64,4,10
5/16/2024,6,Delta Medical Center,Clinic,Mansoura,102,Amoxicillin,Antibiotic,135,30,16,7
6/25/2024,3,Giza Health Center,Clinic,Giza,106,Metformin,Diabetes,295,34,12,14
1/9/2024,1,Cairo General Hospital,Hospital,Cairo,102,Amoxicillin,Antibiotic,171,45,10,2
3/21/2024,2,El Amal Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,118,61,17,7
2/6/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,145,28,9,12
3/8/2024,5,Alex Central Hospital,Hospital,Alexandria,105,Aspirin,Cardio,229,77,20,7
2/5/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,270,51,4,13
2/9/2024,1,Cairo General Hospital,Hospital,Cairo,101,Paracetamol,Painkiller,91,70,15,10
4/7/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,249,53,10,9
1/30/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,284,68,10,13
1/29/2024,6,Delta Medical Center,Clinic,Mansoura,103,Ibuprofen,Painkiller,160,47,7,8
3/8/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,266,68,7,9
3/17/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,269,58,8,3
5/18/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,281,78,2,10
1/5/2024,3,Giza Health Center,Clinic,Giza,104,Insulin,Diabetes,67,79,13,14
1/15/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,133,76,20,2
5/4/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,45,68,19,13
6/17/2024,2,El Amal Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,253,80,19,3
6/4/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,226,33,19,13
2/21/2024,6,Delta Medical Center,Clinic,Mansoura,106,Metformin,Diabetes,169,45,13,8
1/31/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,136,34,4,6
5/21/2024,1,Cairo General Hospital,Hospital,Cairo,105,Aspirin,Cardio,127,57,9,1
6/10/2024,1,Cairo General Hospital,Hospital,Cairo,106,Metformin,Diabetes,40,34,4,1
5/11/2024,3,Giza Health Center,Clinic,Giza,101,Paracetamol,Painkiller,131,37,17,4
5/26/2024,5,Alex Central Hospital,Hospital,Alexandria,102,Amoxicillin,Antibiotic,252,35,17,13
1/25/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,59,62,15,6
4/29/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,37,63,5,1
3/27/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,65,35,8,4
2/5/2024,5,Alex Central Hospital,Hospital,Alexandria,104,Insulin,Diabetes,226,31,10,8
4/23/2024,2,El Amal Pharmacy,Pharmacy,Cairo,101,Paracetamol,Painkiller,291,26,3,11
1/24/2024,5,Alex Central Hospital,Hospital,Alexandria,101,Paracetamol,Painkiller,131,30,15,8
4/12/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,40,30,14,1
4/26/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,103,Ibuprofen,Painkiller,156,47,19,11
2/9/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,107,38,8,1
5/18/2024,5,Alex Central Hospital,Hospital,Alexandria,106,Metformin,Diabetes,41,67,12,1
5/2/2024,1,Cairo General Hospital,Hospital,Cairo,105,Aspirin,Cardio,267,78,18,3
1/21/2024,1,Cairo General Hospital,Hospital,Cairo,105,Aspirin,Cardio,105,24,4,11
1/31/2024,2,El Amal Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,136,57,3,10
6/17/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,299,53,12,5
3/21/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,132,36,14,3
3/17/2024,6,Delta Medical Center,Clinic,Mansoura,106,Metformin,Diabetes,244,40,4,1
5/24/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,61,24,19,4
2/3/2024,5,Alex Central Hospital,Hospital,Alexandria,103,Ibuprofen,Painkiller,188,76,4,4
2/10/2024,3,Giza Health Center,Clinic,Giza,103,Ibuprofen,Painkiller,234,73,19,12
6/16/2024,3,Giza Health Center,Clinic,Giza,105,Aspirin,Cardio,280,20,19,5
2/4/2024,6,Delta Medical Center,Clinic,Mansoura,101,Paracetamol,Painkiller,145,27,5,12
3/10/2024,5,Alex Central Hospital,Hospital,Alexandria,102,Amoxicillin,Antibiotic,154,58,8,12
6/24/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,145,52,17,5
6/11/2024,1,Cairo General Hospital,Hospital,Cairo,101,Paracetamol,Painkiller,226,73,10,1
2/3/2024,1,Cairo General Hospital,Hospital,Cairo,103,Ibuprofen,Painkiller,144,30,16,9
5/23/2024,6,Delta Medical Center,Clinic,Mansoura,104,Insulin,Diabetes,14,27,4,12
1/10/2024,2,El Amal Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,199,57,19,3
1/11/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,102,Amoxicillin,Antibiotic,167,43,3,6
3/4/2024,2,El Amal Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,62,42,19,14
2/9/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,105,Aspirin,Cardio,131,75,7,13
1/7/2024,2,El Amal Pharmacy,Pharmacy,Cairo,104,Insulin,Diabetes,101,67,12,13
3/4/2024,4,Nasr City Pharmacy,Pharmacy,Cairo,106,Metformin,Diabetes,146,30,5,7
2/26/2024,1,Cairo General Hospital,Hospital,Cairo,104,Insulin,Diabetes,112,72,16,6
2/27/2024,3,Giza Health Center,Clinic,Giza,102,Amoxicillin,Antibiotic,22,62,8,7
